char,codepoint,file,line,column,entry,context
㾸,U+3FB8,20250630-安.csv,16315,詞目,生癩㾸病,生癩㾸病
㾸,U+3FB8,20250630-安.csv,16315,例句,生癩㾸病,例：聽講莊底遐個流漂子豬哥，落尾生癩㾸病死去。(（聽說村子裡那個行為不檢點的人風流成性，結果得性病皮膚潰爛死了。）)
㾽,U+3FBD,20250630-平.csv,9458,例句,瘍癧,阿公想孫仔想到難耐，做阿爸个人閒閒，正經係㾽仔無恁疾，瘍𤻤較疾。 爺爺想孫子想到難耐，當爸爸的不在乎，真的是皇帝不急，急死太監。
㾽,U+3FBD,20250630-平.csv,17678,詞目,發目㾽,發目㾽
㾽,U+3FBD,20250630-平.csv,17678,例句,發目㾽,例：老弟發目㾽，又紅又疾，阿姆煞煞帶佢去分先生䀴。(（弟弟長針眼，又紅又痛，媽媽趕緊帶她去給醫師看。）)
㾽,U+3FBD,20250630-平.csv,17679,詞目,發㾽仔,發㾽仔
㾽,U+3FBD,20250630-平.csv,17679,例句,發㾽仔,例：該乞食仔个下想發㾽仔，䀴起來盡傷重。(（那位乞丐的小腿生癰疽，看起來很嚴重。）)
㾽,U+3FBD,20250630-平.csv,17679,相似詞,發㾽仔,發㾽發癤
㾽,U+3FBD,20250630-平.csv,17680,詞目,發㾽發癤,發㾽發癤
㾽,U+3FBD,20250630-平.csv,17680,例句,發㾽發癤,熱天時做田事，炙日頭又出汗，皮膚較會發㾽發癤。 夏天時做農事，晒太陽又流汗，皮膚比較會長膿瘡。
㾽,U+3FBD,20250630-平.csv,17680,相似詞,發㾽發癤,發㾽發疓　
㾽,U+3FBD,20250630-海.csv,9527,例句,瘍癧,恁久發㾽仔當嚴重，腳脥下个瘍癧嗄襯起來，當痛。 最近長膿瘡很嚴重，腳胯下的淋巴反而腫起來，很痛。
㾽,U+3FBD,20250630-海.csv,17599,詞目,發目㾽,發目㾽
㾽,U+3FBD,20250630-海.csv,17599,例句,發目㾽,例：老弟發目㾽，又紅又痛，阿姆煞煞渡佢去分先生看。(（弟弟長針眼，又紅又痛，媽媽趕緊帶他去給醫師看。）)
㾽,U+3FBD,20250630-海.csv,17600,詞目,發㾽仔,發㾽仔
㾽,U+3FBD,20250630-海.csv,17600,例句,發㾽仔,例：該隻乞食仔个下想發㾽仔，看起來盡傷重。(（那個乞丐的小腿生癰疽，看起很嚴重。）)
㾽,U+3FBD,20250630-海.csv,17600,相似詞,發㾽仔,發㾽發癤
㾽,U+3FBD,20250630-海.csv,17602,詞目,發㾽發癤,發㾽發癤
㾽,U+3FBD,20250630-海.csv,17602,例句,發㾽發癤,熱天時做田事，晒日頭又出汗，皮膚較會爪到發㾽發癤。 夏天時做農事，晒太陽又流汗，皮膚比較會抓到長膿瘡。
䈪,U+422A,113四高.csv,2552,四縣客家語,籮䈪,籮䈪
䈪,U+422A,113大高.csv,2542,大埔客家語,籮䈪,籮䈪
䈪,U+422A,113平高.csv,2537,饒平客家語,籮䈪,籮䈪
䈪,U+422A,113海高.csv,2541,海陸客家語,籮䈪,籮䈪
䈪,U+422A,20250630-南.csv,9665,例句,㧡,例：㧡擔（挑擔）、㧡枷（日暈、月暈）、㧡火炭（挑木炭）、㧡長籮䈪（挑高禮籃、喻遇到麻煩事）、菜籃㧡水(喻沒有效果) 例：㧡起來（承擔起來）、㧡責任（擔當責任）、㧡家（承擔家務）、㧡毋贏(承擔不起)
䈪,U+422A,20250630-南.csv,17423,詞目,籮䈪,籮䈪
䈪,U+422A,20250630-四.csv,9852,例句,㧡,例：㧡擔（挑擔）、㧡枷（日暈、月暈）、㧡火炭（挑木炭）、㧡長籮䈪（挑高禮籃、遇到麻煩事）、菜籃㧡水(喻沒有效果) 例：㧡起來（承擔起來）、㧡責任（擔當責任）、㧡家（承擔家務）、㧡毋贏(承擔不起)
䈪,U+422A,20250630-四.csv,11883,例句,迎親,例：路項有一頂大紅花轎行等來，接等一𣛮一𣛮个彩禮，一籮䈪一籮䈪个嫁妝，連峨接棟，毋知係哪家个迎親陣頭恁排場。(路上有一頂大紅花轎走過來，接著一𣛮一𣛮的彩禮，一籮筐一籮筐的嫁妝，連綿不斷，不知道是哪家的迎親隊伍這麼盛大。)
䈪,U+422A,20250630-四.csv,17110,詞目,籮䈪,籮䈪
䈪,U+422A,20250630-四.csv,17110,例句,籮䈪,例：阿姊行嫁个時節，大細籮䈪對阿婆个間肚排到廳下，真排場。(（姊姊出嫁時候，大小謝籃從奶奶的房間裡擺到客廳，場面很壯觀。）)
䈪,U+422A,20250630-大.csv,9578,例句,㧡,例：㧡擔（挑擔）、㧡火炭（挑木炭）、㧡長籮䈪（挑高禮籃、遇到麻煩事）、菜籃㧡水(（喻沒有效果）) 例：㧡䟘來（承擔起來）、㧡責任（擔當責任）、㧡家（承擔家務）、㧡毋贏(（承擔不起）)
䈪,U+422A,20250630-大.csv,17021,詞目,籮䈪,籮䈪
